"features","scores"
"OTU_97.44941",-3.41110631092714
"OTU_97.42356",-3.41007279376813
"OTU_97.44594",-3.37380141412091
"OTU_97.41422",-3.06276125919663
"OTU_97.126",3.00116869589635
"OTU_97.17936",3.00682536270303
"OTU_97.35359",3.01286137643036
"OTU_97.44798",3.05526897088038
"OTU_97.37368",3.06105949267505
"OTU_97.63",3.07566669701633
"OTU_97.131",3.10944152288456
"OTU_97.99",3.11215436212448
"OTU_97.40495",3.12174431041753
"OTU_97.40650",3.18334491563911
"OTU_97.39904",3.25799724803114
"OTU_97.214",3.32668125523755
"OTU_97.38234",3.41651268115228
"OTU_97.39982",3.43348148062841
"OTU_97.40468",3.56003760027129
