"taxon_name","LDA_iter_5","LDA_iter_10","LDA_iter_15","LDA_iter_20","LDA_iter_25","LDA_iter_30","LDA_iter_35","LDA_iter_40","LDA_iter_45","LDA_iter_50","LDA_iter_55","LDA_iter_60","LDA_iter_65","LDA_iter_70","LDA_iter_75","LDA_iter_80","LDA_iter_85","LDA_iter_90","LDA_iter_95","LDA_iter_100","num_detected","lefser_LDA","most_specific_taxa","taxon_annotation"
"OTU_97.214",3.26141580418,3.33804862632,3.3393084929,3.2888780947,3.27239398863,3.27696967508,3.28768493726,3.30749311107,3.31097689688,3.3200703735,3.33203500418,3.33954055492,3.3423639151,3.33210822472,3.32781151484,3.33222513677,3.32754201653,3.32271348501,3.31866155379,3.31519967748,20,3.32668125523755,"o__Bacteroidales",NA
"OTU_97.37857",3.03965267793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,"g__Fusobacterium","anaerobic"
"OTU_97.39982",3.4910482055,3.44815859836,3.42695655038,3.41826473952,3.42840064455,3.42432091907,3.41602467748,3.4183092919,3.41495814252,3.41514453553,3.41054164038,3.40996954146,3.41935991927,3.419596064,3.43007280203,3.42652773701,3.41791819743,3.41956168549,3.42577606966,3.43076668672,20,3.43348148062841,"g__Fusobacterium","anaerobic"
"OTU_97.35359",3.11712935239,3.0855571347,3.06679763915,3.0571859966,3.05795273333,3.04919106091,3.06371269347,3.06982749336,3.05123653966,3.04910847312,3.05451477878,3.05802112459,3.05104052663,3.05052214217,3.04389111539,3.04405738935,3.04025414118,3.04625484989,3.04228538359,3.04486402681,20,3.01286137643036,"g__Fusobacterium","anaerobic"
"OTU_97.38234",3.34757449147,3.36037441334,3.40000894309,3.40457167415,3.41830693345,3.41587304155,3.41439955452,3.42350342716,3.42754428392,3.42798145381,3.42928242804,3.42972228875,3.43273655041,3.43888599417,3.44758791247,3.44438595837,3.44006323387,3.4389277053,3.44171995194,3.44242664914,20,3.41651268115228,"g__Fusobacterium","anaerobic"
"OTU_97.99",3.16993325633,3.14095049064,3.10326150963,3.09349670032,3.09850268554,3.10660409162,3.11386337047,3.11875742421,3.11034737354,3.11952069669,3.11171679856,3.11196586138,3.11531483054,3.11650136585,3.11997835531,3.11761076271,3.12235885494,3.11803298446,3.11947537681,3.11985497366,20,3.11215436212448,"g__Porphyromonas","anaerobic"
"OTU_97.41422",3.05452705108,3.08402962528,3.05516039178,3.05176444662,3.07883152291,3.06681058364,3.05779859051,3.0954458693,3.09341081854,3.08108407704,3.08784013582,3.0903854811,3.10284650158,3.10162410264,3.10287042596,3.11840586311,3.10836689958,3.11135766309,3.09925601908,3.10010351638,20,-3.06276125919663,"g__Actinomyces","anaerobic"
"OTU_97.131",3.09791445416,3.10787738985,3.10474951592,3.09385180386,3.08437950455,3.09793654666,3.09907545775,3.11379822676,3.10873461779,3.11685719167,3.11865695172,3.1168189186,3.12117070672,3.12356449169,3.12944589289,3.12819812004,3.12926023214,3.1322071625,3.12941053468,3.12667655516,20,3.10944152288456,"f__Porphyromonadaceae",NA
"OTU_97.44594",3.36566909242,3.32088835358,3.31668552673,3.32736027958,3.33820114716,3.33449818732,3.33978399425,3.34253310814,3.34855044459,3.35210958451,3.33858023774,3.35389893194,3.36914410212,3.37667666315,3.38417712219,3.37894356249,3.38707435589,3.38719159916,3.38721876876,3.38260577163,20,-3.37380141412091,"g__Streptococcus","facultative_anaerobic"
"OTU_97.126",3.03541529754,3.0087887947,3.01504070815,3.01914125192,3.02466564359,3.04490278041,3.03224854375,3.03787464089,3.02856722109,3.02122861509,3.01727690452,3.01603913875,3.01754426866,3.01568072003,3.01872574975,3.00982060798,3.01557059273,3.02013846943,3.02274373833,3.02791298481,20,3.00116869589635,"g__Selenomonas","anaerobic"
"OTU_97.39904",3.21843876566,3.27394835037,3.25156738539,3.24431465444,3.24584029011,3.24572374462,3.25161165422,3.26337084536,3.26166880339,3.26040454351,3.26957680987,3.26902637437,3.26949792349,3.26774849846,3.26799399393,3.27464319446,3.27303769028,3.28285017997,3.27614674676,3.27323338366,20,3.25799724803114,"g__Fusobacterium","anaerobic"
"OTU_97.813",3.03566378243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,"g__Porphyromonas","anaerobic"
"OTU_97.310",3.02278890611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,"g__Treponema","anaerobic"
"OTU_97.40650",3.11800800953,3.19473471265,3.17780400799,3.19182027357,3.18036565917,3.17733801775,3.17615733986,3.18644507289,3.17774253435,3.17589522554,3.17970417431,3.18170694658,3.1853091829,3.18397622358,3.18043967418,3.17911357028,3.17986117325,3.18741468899,3.19072728707,3.19690980244,20,3.18334491563911,"g__Fusobacterium","anaerobic"
"OTU_97.40495",3.07774667294,3.12494667504,3.11076879719,3.12970376706,3.12083722848,3.12750364431,3.12187674903,3.13512733434,3.13830288317,3.13761261559,3.13673417602,3.13474826978,3.13195644294,3.13233207057,3.13311364793,3.13510712949,3.13520764992,3.1367769315,3.13671687954,3.1344631315,20,3.12174431041753,"g__Fusobacterium","anaerobic"
